longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.25,37.82,28,3337,855.0,1520,802,3.9063,225000
-122.25,37.82,52,1424,289.0,550,253,5.0917,262500
-122.25,37.82,32,3809,1098.0,1806,1022,2.6429,218500
-122.25,37.82,26,3959,1196.0,1749,1217,3.0233,255000
-122.25,37.83,52,2376,559.0,939,519,3.1484,224100
-122.25,37.83,35,1613,428.0,675,422,3.4722,243100
-122.25,37.83,52,1279,287.0,534,291,3.1429,231600
-122.25,37.83,28,5022,1750.0,2558,1661,2.4234,218500
-122.25,37.83,52,4190,1105.0,1786,1037,3.0897,234100
-122.23,37.84,50,2515,399.0,970,373,5.8596,327600
-122.23,37.84,47,3175,454.0,1098,485,5.2868,347600
-122.24,37.83,41,2576,406.0,794,376,5.956,366100
-122.24,37.85,37,334,54.0,98,47,4.9643,335000
-122.23,37.85,52,2800,411.0,1061,403,6.3434,373600
-122.24,37.84,52,3529,574.0,1177,555,5.1773,389500
-122.24,37.85,52,2612,365.0,901,367,7.2354,391100
-122.22,37.85,28,5287,1048.0,2031,956,5.457,337300
-122.22,37.84,50,2935,473.0,1031,479,7.5,295200
-122.21,37.84,44,3424,597.0,1358,597,6.0194,292300
-122.21,37.83,40,4991,674.0,1616,654,7.5544,411500
-122.2,37.84,30,2211,346.0,844,343,6.0666,311500
-122.21,37.84,34,3038,490.0,1140,496,7.0548,325900
-122.19,37.84,18,1617,210.0,533,194,11.6017,392600
-122.2,37.84,35,2865,460.0,1072,443,7.4882,319300
-122.21,37.83,34,5065,788.0,1627,766,6.8976,333300
-122.19,37.83,28,1326,184.0,463,190,8.2049,335200
-122.2,37.83,26,1589,223.0,542,211,8.401,351200
-122.19,37.83,29,1791,271.0,661,269,6.8538,368900
-122.19,37.82,32,1835,264.0,635,263,8.317,365900
-122.2,37.82,37,1229,181.0,420,176,7.0175,366700
-122.2,37.82,39,3770,534.0,1265,500,6.3302,362800
-122.18,37.81,30,292,38.0,126,52,6.3624,483300
-122.21,37.82,52,2375,333.0,813,350,7.0549,331400
-122.2,37.81,45,2964,436.0,1067,426,6.7851,323500
-122.21,37.8,50,2833,605.0,1260,552,2.8929,216700
-122.21,37.8,38,2254,535.0,951,487,3.0812,233100
-122.21,37.81,52,1389,212.0,510,224,5.2402,296400
-122.22,37.81,52,1971,335.0,765,308,6.5217,273700
-122.22,37.8,52,2183,465.0,1129,460,3.2632,227700
-122.22,37.8,52,2286,464.0,1073,441,3.0298,199600
-122.22,37.8,52,2721,541.0,1185,515,4.5428,239800
-122.22,37.81,52,2024,339.0,756,340,4.072,270100
-122.22,37.81,52,2944,536.0,1034,521,5.3509,302100
-122.23,37.8,52,2033,486.0,787,459,3.1603,269500
-122.23,37.81,52,1433,229.0,612,213,4.7708,314700
-122.22,37.81,52,2927,402.0,1021,380,8.1564,390100
-122.23,37.81,52,2315,292.0,861,258,8.8793,410300
-122.24,37.81,52,2485,313.0,953,327,6.8591,352400
-122.24,37.81,52,1490,238.0,634,256,6.0302,287300
-122.23,37.81,52,2814,365.0,878,352,7.508,348700
-122.24,37.81,52,2093,550.0,918,483,2.7477,243800
-122.24,37.8,52,888,168.0,360,175,2.1944,211500
-122.25,37.8,52,2087,510.0,1197,488,3.0149,218400
-122.24,37.81,52,2513,502.0,1048,518,3.675,269900
-122.25,37.81,46,3232,835.0,1373,747,3.225,218800
-122.25,37.8,42,4120,1065.0,1715,1015,2.9345,225000
-122.25,37.8,43,2364,792.0,1359,722,2.1429,250000
-122.25,37.8,41,1471,469.0,1062,413,1.6121,171400
-122.25,37.8,29,2468,864.0,1335,773,1.3929,193800
-122.24,37.79,27,1632,492.0,1171,429,2.3173,125000
-122.25,37.79,45,1786,526.0,1475,460,1.7772,97500
-122.25,37.79,50,629,188.0,742,196,2.6458,125000
-122.25,37.79,52,1339,391.0,1086,363,2.181,138800
-122.25,37.8,36,1678,606.0,1645,543,2.2303,116700
-122.25,37.8,43,2344,647.0,1710,644,1.6504,151800
-122.24,37.8,52,996,228.0,731,228,2.2697,127000
-122.24,37.8,52,1591,373.0,1118,347,2.1563,128600
-122.24,37.8,52,1586,398.0,1006,335,2.1348,140600
-122.24,37.8,47,2046,588.0,1213,554,2.6292,182700
-122.23,37.8,52,1192,289.0,772,257,2.3833,146900
-122.24,37.8,52,1803,420.0,1321,401,2.957,122800
-122.24,37.8,49,2838,749.0,1487,677,2.5238,169300
-122.23,37.8,52,783,184.0,488,186,1.9375,126600
-122.23,37.8,51,1590,414.0,949,392,1.9028,127900
-122.23,37.8,50,1746,480.0,1149,415,2.25,123500
-122.23,37.8,52,1252,299.0,844,280,2.3929,111900
-122.23,37.79,43,5963,1344.0,4367,1231,2.1917,112800
-122.23,37.79,52,1783,395.0,1659,412,2.9357,107900
-122.23,37.79,30,999,264.0,1011,263,1.8854,137500
-122.24,37.79,39,1469,431.0,1464,389,2.1638,105500
-122.24,37.79,47,1372,395.0,1237,303,2.125,95500
-122.24,37.79,52,674,180.0,647,168,3.375,116100
-122.24,37.79,43,1626,376.0,1284,357,2.2542,112200
-122.25,37.79,51,175,43.0,228,55,2.1,75000
-122.25,37.79,39,461,129.0,381,123,1.6,112500
-122.25,37.79,52,902,237.0,846,227,3.625,125000
-122.26,37.8,20,2373,779.0,1659,676,1.6929,115000
-122.22,37.77,52,391,128.0,520,138,1.6471,95000
-122.22,37.77,52,1137,301.0,866,259,2.59,96400
-122.23,37.77,52,769,206.0,612,183,2.57,72000
-122.23,37.78,52,472,146.0,415,126,2.6429,71300
-122.23,37.78,52,862,215.0,994,213,3.0257,80800
-122.22,37.78,50,1920,530.0,1525,477,1.4886,128800
-122.23,37.78,43,1420,472.0,1506,438,1.9338,112500
-122.23,37.78,52,986,258.0,1008,255,1.4844,119400
-122.23,37.78,44,2340,825.0,2813,751,1.6009,118100
-122.23,37.79,48,1696,396.0,1481,343,2.0375,122500
-122.23,37.79,49,1175,217.0,859,219,2.293,106300
-122.22,37.79,37,2343,574.0,1608,523,2.1494,132500
-122.23,37.79,30,610,145.0,425,140,1.6198,122700
-122.23,37.79,40,930,199.0,564,184,1.3281,113300
-122.22,37.79,44,1487,314.0,961,272,3.5156,109500
-122.22,37.79,52,3424,690.0,2273,685,3.9048,164700
-122.21,37.79,52,762,190.0,600,195,3.0893,125000
-122.22,37.79,46,2366,575.0,1647,527,2.6042,124700
-122.22,37.79,49,1826,450.0,1201,424,2.5,136700
-122.22,37.79,38,3049,711.0,2167,659,2.7969,141700
-122.2,37.79,29,1640,376.0,939,340,2.8321,150000
-122.21,37.79,47,1543,307.0,859,292,2.9583,138800
-122.21,37.79,34,2364,557.0,1517,516,2.8365,139200
-122.21,37.79,35,1745,409.0,1143,386,2.875,143800
-122.21,37.8,39,2003,500.0,1109,464,3.0682,156500
-122.21,37.8,39,2018,447.0,1221,446,3.0757,151000
-122.2,37.8,43,3045,499.0,1115,455,4.9559,273000
-122.2,37.8,52,1547,293.0,706,268,4.7721,217100
-122.21,37.8,52,3519,711.0,1883,706,3.4861,187100
-122.2,37.8,41,2070,354.0,804,340,5.1184,239600
-122.21,37.8,48,1321,263.0,506,252,4.0977,229700
-122.19,37.8,48,1694,259.0,610,238,4.744,257300
-122.19,37.8,46,1938,341.0,768,332,4.2727,246900
-122.19,37.79,50,968,195.0,462,184,2.9844,179900
-122.2,37.79,40,1060,256.0,667,235,4.1739,169600
-122.2,37.8,46,2041,405.0,1059,399,3.8487,203300
-122.19,37.8,52,1813,271.0,637,277,4.0114,263400
-122.19,37.79,45,2718,451.0,1106,454,4.6563,231800
-122.19,37.79,28,3144,761.0,1737,669,2.9297,140500
-122.2,37.79,35,1802,459.0,1009,390,2.3036,126000
-122.2,37.79,49,882,195.0,737,210,2.6667,122000
-122.2,37.79,44,1621,452.0,1354,491,2.619,134700
-122.21,37.79,45,2115,533.0,1530,474,2.4167,139400
-122.2,37.79,45,2021,528.0,1410,480,2.7788,115400
-122.21,37.78,46,2239,508.0,1390,569,2.7352,137300
-122.21,37.78,52,1477,300.0,1065,269,1.8472,137000
-122.21,37.78,52,1056,224.0,792,245,2.6583,142600
-122.21,37.78,49,898,244.0,779,245,3.0536,137500
-122.22,37.78,44,2968,710.0,2269,610,2.3906,111700
-122.21,37.78,43,1702,460.0,1227,407,1.7188,126800
-122.21,37.78,47,881,248.0,753,241,2.625,111300
-122.22,37.77,40,494,114.0,547,135,2.8015,114800
-122.22,37.78,50,1776,473.0,1807,440,1.7276,102300
-122.22,37.78,44,1678,514.0,1700,495,2.0801,131900
-122.22,37.78,51,1637,463.0,1543,393,2.489,119100
-122.21,37.76,52,1420,314.0,1085,300,1.7546,80600
-122.21,37.77,52,591,173.0,353,137,4.0904,80600
-122.21,37.77,52,745,153.0,473,149,2.6765,88800
-122.2,37.77,49,2272,498.0,1621,483,2.4338,102400
-122.21,37.77,46,1234,375.0,1183,354,2.3309,98700
-122.21,37.77,43,1017,328.0,836,277,2.2604,100000
-122.19,37.77,42,932,254.0,900,263,1.8039,92300
-122.2,37.77,39,2689,597.0,1888,537,2.2562,94800
-122.2,37.77,41,1547,415.0,1024,341,2.0562,102000
-122.2,37.78,52,2300,443.0,1225,423,3.5398,158400
-122.2,37.78,39,1752,399.0,1071,376,3.1167,121600
-122.2,37.78,50,1867,403.0,1128,378,2.5401,129100
-122.2,37.77,43,2430,502.0,1537,484,2.898,121400
-122.21,37.78,44,1729,414.0,1240,393,2.3125,102800
-122.19,37.78,52,1026,180.0,469,168,2.875,160000
-122.19,37.77,52,2170,428.0,1086,425,3.3715,143900
-122.19,37.77,52,2329,445.0,1144,417,3.5114,151200
-122.19,37.78,52,2492,415.0,1109,375,4.3125,164400
-122.19,37.78,52,2198,397.0,984,369,3.22,156500
-122.18,37.78,33,142,31.0,575,47,3.875,225000
-122.19,37.78,49,1183,205.0,496,209,5.2328,174200
-122.19,37.78,52,1070,193.0,555,190,3.7262,166900
-122.2,37.78,45,1766,332.0,869,327,4.5893,163500
-122.18,37.79,39,617,95.0,236,106,5.2578,253000
-122.18,37.79,41,1411,233.0,626,214,7.0875,240700
-122.18,37.79,46,2109,387.0,922,329,3.9712,208100
-122.19,37.79,47,1229,243.0,582,256,2.9514,198100
-122.19,37.79,50,954,217.0,546,201,2.6667,172800
-122.18,37.81,37,1643,262.0,620,266,5.4446,336700
-122.18,37.8,34,1355,195.0,442,195,6.2838,318200
-122.18,37.8,23,2317,336.0,955,328,6.7527,285800
-122.13,37.77,24,2459,317.0,916,324,7.0712,293000
-122.16,37.79,22,12842,2048.0,4985,1967,5.9849,371000
-122.17,37.78,42,1524,260.0,651,267,3.6875,157300
-122.17,37.77,30,3326,746.0,1704,703,2.875,135300
-122.18,37.78,43,1985,440.0,1085,407,3.4205,136700
-122.18,37.78,50,1642,322.0,713,284,3.2984,160700
-122.17,37.78,49,893,177.0,468,181,3.875,140600
-122.17,37.78,52,653,128.0,296,121,4.175,144000
-122.16,37.77,47,1256,,570,218,4.375,161900
-122.16,37.77,48,977,194.0,446,180,4.7708,156300
-122.16,37.77,45,2324,397.0,968,384,3.5739,176000
-122.16,37.77,39,1583,349.0,857,316,3.0958,145800
-122.17,37.77,39,1612,342.0,912,322,3.3958,141900
-122.17,37.77,31,2424,533.0,1360,452,1.871,90700
-122.17,37.76,41,1594,367.0,1074,355,1.9356,90600
-122.17,37.76,47,2118,413.0,965,382,2.1842,107900
-122.18,37.76,37,1575,358.0,933,320,2.2917,107000
-122.17,37.76,38,1764,397.0,987,354,2.4333,98200
-122.18,37.76,50,1187,261.0,907,246,1.9479,89500
-122.18,37.76,52,754,175.0,447,165,3.9063,93800
-122.18,37.76,49,2308,452.0,1299,451,1.8407,96700
-122.18,37.77,27,909,236.0,396,157,2.0786,97500
-122.18,37.77,42,1180,257.0,877,268,2.8125,97300
-122.18,37.76,43,2018,408.0,1111,367,1.8913,91200
-122.19,37.76,49,1368,282.0,790,269,1.7056,91400
-122.18,37.77,52,2744,547.0,1479,554,2.2768,96200
-122.18,37.77,51,2107,471.0,1173,438,3.2552,120100
-122.18,37.77,52,1748,362.0,1029,366,2.0556,100000
-122.19,37.76,52,2024,391.0,1030,350,2.4659,94700
-122.2,37.76,47,1116,259.0,826,279,1.75,85700
-122.19,37.77,41,2036,510.0,1412,454,2.0469,89300
-122.19,37.77,45,1852,393.0,1132,349,2.7159,101400
-122.19,37.76,41,921,207.0,522,159,1.2083,72500
-122.19,37.76,45,995,238.0,630,237,1.925,74100
-122.2,37.75,36,606,132.0,531,133,1.5809,70000
-122.2,37.76,37,2680,736.0,1925,667,1.4097,84600
-122.19,37.76,38,1493,370.0,1144,351,0.7683,81800
-122.19,37.75,19,2207,565.0,1481,520,1.3194,81400
-122.19,37.75,28,856,189.0,435,162,0.8012,81800
-122.19,37.76,26,1293,297.0,984,303,1.9479,85800
-122.19,37.74,36,847,212.0,567,159,1.1765,87100
-122.18,37.74,42,541,154.0,380,123,2.3456,83500
-122.19,37.73,44,1066,253.0,825,244,2.1538,79700
-122.19,37.74,43,707,147.0,417,155,2.5139,83400
-122.19,37.73,45,1528,291.0,801,287,1.2625,84700
-122.18,37.73,42,909,215.0,646,198,2.9063,80000
-122.18,37.73,43,1391,293.0,855,285,2.5192,76400
-122.18,37.73,44,548,119.0,435,136,2.1111,79700
-122.18,37.73,42,4074,874.0,2736,780,2.455,82400
-122.17,37.74,41,1613,445.0,1481,414,2.4028,97700
-122.17,37.74,47,463,134.0,327,137,2.15,97200
-122.17,37.74,43,818,193.0,494,179,2.4776,101600
-122.17,37.73,43,1473,371.0,1231,341,2.1587,86500
-122.18,37.74,35,504,126.0,323,109,1.8438,90500
-122.17,37.74,46,1026,226.0,749,225,3.0298,107600
-122.17,37.74,46,769,183.0,693,178,2.25,84200
-122.18,37.74,46,2103,391.0,1339,354,2.2467,88900
-122.18,37.75,45,330,76.0,282,80,4.0469,80700
-122.18,37.75,46,941,218.0,621,195,1.325,87100
-122.17,37.75,38,992,,732,259,1.6196,85100
-122.18,37.75,45,990,261.0,901,260,2.1731,82000
-122.19,37.75,36,1126,263.0,482,150,1.9167,82800
-122.18,37.75,43,1036,233.0,652,213,2.069,84600
-122.18,37.75,36,1047,214.0,651,166,1.712,82100
-122.17,37.76,33,1280,307.0,999,286,2.5625,89300
-122.17,37.75,43,1587,320.0,907,306,1.9821,98300
-122.17,37.75,41,1257,271.0,828,230,2.5043,92300
-122.17,37.75,44,1218,248.0,763,254,2.3281,88800
-122.17,37.75,48,1751,390.0,935,349,1.4375,90000
-122.16,37.76,45,2299,514.0,1437,484,2.5122,95500
-122.16,37.75,38,2457,624.0,1516,482,1.5625,91700
-122.17,37.75,47,998,211.0,597,185,3.1587,100400
-122.17,37.76,40,1685,343.0,949,342,1.8426,94800
-122.16,37.76,46,1827,307.0,881,302,4.6696,164300
-122.16,37.76,36,2781,574.0,1438,519,2.4598,155500
-122.15,37.76,39,1823,286.0,763,270,6.0749,196900
-122.14,37.77,27,2229,365.0,1297,355,4.8304,279100
-122.14,37.76,34,1513,231.0,545,211,5.5701,252800
-122.13,37.76,26,3266,491.0,1222,533,5.37,275400
-122.12,37.75,33,1809,261.0,808,219,6.86,250000
-122.12,37.75,28,794,111.0,329,109,7.6923,329800
-122.14,37.75,36,690,105.0,299,109,4.0313,195500
-122.14,37.75,33,1334,200.0,579,202,6.8323,255900
-122.13,37.75,30,414,54.0,137,50,4.975,311100
-122.13,37.75,36,768,93.0,229,93,5.3602,330000
-122.13,37.74,41,4400,666.0,1476,648,5.0,248900
-122.16,37.75,46,954,161.0,429,154,2.925,142900
-122.15,37.75,40,1445,256.0,849,255,3.8913,126300
-122.15,37.75,44,1938,399.0,946,331,3.225,135800
-122.15,37.74,41,856,178.0,571,191,3.1458,130600
-122.16,37.75,24,1790,454.0,1137,386,2.537,107900
-122.16,37.75,44,617,131.0,378,135,2.5568,111100
-122.15,37.74,43,1383,275.0,853,272,3.5083,122000
-122.15,37.74,49,1325,277.0,764,282,3.3125,118000
-122.16,37.75,40,1227,294.0,928,261,1.8235,95200
-122.16,37.75,35,667,140.0,406,133,3.8047,94300
-122.17,37.74,34,1223,281.0,824,280,2.2917,92500
-122.17,37.75,37,1379,287.0,835,259,2.4962,91800
-122.16,37.74,43,1534,300.0,826,295,4.0417,109400
-122.16,37.74,46,1029,181.0,567,211,3.4844,129500
-122.16,37.74,52,771,147.0,355,144,4.1458,143400
-122.16,37.74,47,824,223.0,533,166,2.625,98200
-122.16,37.74,44,1097,239.0,609,215,2.0227,103100
-122.29,37.9,49,1283,238.0,576,236,3.3333,276800
-122.29,37.9,52,1604,263.0,594,286,5.338,270900
-122.29,37.89,52,2248,422.0,870,377,3.4732,246200
-122.3,37.9,38,2263,522.0,1027,509,3.5125,224200
-122.29,37.89,52,1571,349.0,693,326,3.1375,229100
-122.3,37.89,46,1520,402.0,815,375,2.8036,211600
-122.3,37.9,15,5083,1212.0,2420,1146,4.5824,256100
-122.3,37.89,36,1077,293.0,518,276,3.0208,206300
-122.3,37.89,52,1248,283.0,620,275,4.0875,221300
-122.33,37.89,42,1342,291.0,551,266,4.5268,207400
-122.34,37.88,37,3061,930.0,2556,924,1.7375,350000
-122.29,37.89,52,3171,698.0,1498,696,3.1795,218200
-122.29,37.88,50,1211,261.0,523,227,3.8672,216700
-122.29,37.89,52,979,175.0,374,153,5.1675,270600
-122.29,37.89,52,2269,380.0,1004,371,5.1696,261400
-122.28,37.88,52,1844,332.0,769,334,4.2614,261300
-122.29,37.89,52,2178,421.0,940,423,5.0551,232200
-122.27,37.9,42,1650,274.0,645,256,5.6228,375400
-122.26,37.9,52,1927,279.0,705,288,7.8864,357300
-122.27,37.9,52,2079,273.0,684,275,7.9556,374400
-122.27,37.9,52,1803,240.0,572,236,6.174,358800
-122.27,37.9,52,2041,270.0,671,253,6.9414,417500
-122.27,37.89,52,3046,373.0,975,365,8.8342,430500
-122.28,37.9,52,2318,328.0,779,312,7.1754,362900
-122.28,37.9,52,2003,250.0,658,244,10.0825,397000
-122.28,37.9,52,2261,328.0,819,335,4.9083,346800
-122.28,37.89,52,1225,169.0,412,168,5.7912,327100
-122.28,37.89,52,2315,408.0,835,369,4.5893,290100
-122.28,37.89,52,2070,329.0,722,306,5.4171,292000
-122.28,37.89,52,2616,473.0,1085,487,4.125,270900
-122.27,37.89,52,2640,366.0,973,355,7.266,371100
-122.27,37.89,52,1978,293.0,723,272,5.3989,335600
-122.26,37.9,37,2220,335.0,903,362,7.8336,371300
-122.25,37.89,41,1125,195.0,356,181,6.1593,344000
-122.26,37.89,52,3078,494.0,1005,462,6.381,342200
-122.26,37.89,52,3706,531.0,1205,504,6.6828,370900
-122.25,37.89,37,3000,457.0,987,450,7.5385,350000
-122.25,37.89,42,2863,460.0,1031,448,6.7138,368600
-122.26,37.88,52,2551,417.0,894,404,6.2425,391800
-122.26,37.88,52,2255,410.0,823,377,5.7979,415300
-122.27,37.88,52,3360,648.0,1232,621,4.2813,284900
-122.27,37.88,52,1693,391.0,669,367,3.5417,287500
-122.27,37.88,44,2252,592.0,989,550,3.0132,272900
-122.28,37.88,52,2495,491.0,1058,464,4.1429,259600
-122.28,37.88,52,1193,200.0,506,207,4.1912,254500
-122.28,37.88,52,1172,215.0,489,218,3.9167,235600
-122.29,37.88,52,2159,424.0,824,388,3.8897,218400
-122.29,37.88,48,2365,490.0,1034,475,3.1065,229200
-122.29,37.88,46,1895,442.0,920,425,2.9926,192100
-122.29,37.88,52,1650,395.0,841,380,3.556,179300
-122.3,37.88,45,453,146.0,749,137,1.475,187500
-122.3,37.88,52,409,97.0,208,98,1.6971,138800
-122.3,37.87,10,503,118.0,228,100,2.1705,150000
-122.3,37.86,50,499,127.0,287,128,2.75,140600
-122.29,37.85,52,477,119.0,218,106,2.5682,120000
-122.3,37.88,46,1647,376.0,854,355,2.9,144800
-122.3,37.87,52,3123,749.0,1695,684,2.2208,144800
-122.28,37.88,52,957,188.0,403,172,3.2344,245500
-122.28,37.87,52,589,132.0,288,131,3.5156,200000
-122.28,37.87,49,2026,548.0,963,521,1.9805,173700
-122.29,37.87,50,1829,536.0,1129,516,2.6684,185600
-122.29,37.87,52,895,198.0,386,204,3.875,182600
-122.28,37.88,52,1909,416.0,811,406,3.006,227900
-122.28,37.87,46,3022,696.0,1293,675,2.543,220700
-122.28,37.87,46,1777,446.0,805,431,2.8676,212000
-122.27,37.88,52,2803,930.0,1372,876,2.1907,271400
-122.27,37.87,30,1465,439.0,862,425,1.7778,268800
-122.27,37.88,37,2619,682.0,1152,616,2.52,277800
-122.26,37.88,52,1149,255.0,483,249,4.2788,332500
-122.26,37.88,52,2363,604.0,1558,573,2.944,338900
-122.26,37.88,52,2604,837.0,1798,769,1.725,287500
-122.25,37.87,41,685,141.0,266,123,5.2289,384600
-122.25,37.87,42,1756,465.0,2184,422,2.5562,371400
-122.25,37.87,52,1204,460.0,2016,477,0.949,350000
-122.25,37.87,52,609,236.0,1349,250,1.1696,500001
-122.26,37.87,52,1087,371.0,3337,350,1.4012,175000
-122.26,37.87,52,2773,998.0,1721,949,1.1859,241700
-122.27,37.87,35,3218,1108.0,1675,1000,1.7464,216700
